company_name,Number_of_Jobs,Average_Rating
Aziro,10,3.6
Avance Consulting Services,10,3.6
Freelancer,10,4.05
MUFG Bank,10,3.5
Swiss Re,10,3.8
Foreign IT Consulting MNC,10,3.6
Innodata India,10,3.7
TMF Group,10,3.8
Naukri Expert Assist,10,3.6
Net Connect,10,3.1
Zydus Hospitals,10,4.3
Nityo Infotech,10,3.2
MNC,10,3.6
Publicis Sapient,9,3.2
Cushman & Wakefield,9,4.1
Quadrant Technologies,9,3.8
Crimson Interactive,9,2.5
AMK Group,9,3.6
Codincity Digital Technologies,9,4.7
Devlats,9,4.4
Emperen Technologies,9,3.6
Nexturn,9,3.9
Shell Pvt Ltd,9,3.9
Wells Fargo,9,3.6
athenahealth,9,3.9
Newgen,9,4.1
Motorola Solutions,9,3.9
Intersources Inc,9,3.5
Net2Source,9,3.6
Netomi,9,4.0
Ericsson,9,3.9
American Express Global Business Travel,9,4.1
Ahana Systems & Solutions,9,3.8
Sigma Allied Services,9,3.6
Simplify Healthcare,9,2.6
Abbyy,9,2.8
ACL Digital,9,3.6
Bamboo Works,9,3.6
Taskus,9,3.0
Hir Infotech,9,4.5
Techokids,9,4.0
TechKnowledgeHub.org,9,3.6
Triumphant Itcs,9,4.9
Stemford India,9,4.5
Apex 2000 INC,9,3.3
Boosta,9,3.7
Statusneo Technology Consulting,9,4.1
Apple,9,4.3
Bharti AXA General Insurance,9,3.6
Supplycopia Software Services,9,2.6
Udacity,9,3.4
Syneos Health,9,3.6
RSM US in India,9,3.4
Credera,9,3.1
Orcapod Consulting Services Private Limited,9,3.6
Rackspace Technology,9,3.7
ORMAE (Operations Research Machine learning & Analytics Experts LLP),9,2.7
Thoucentric,9,3.7
Cvent,9,3.2
Cummins,9,4.3
Thomson Reuters,9,3.7
ISS Corporate Solutions,9,3.6
Jalopeura Technology,9,5.0
Learningmate Solutions,9,2.9
Securens Systems,9,3.9
Convergepoint,8,3.7
OYO,8,3.0
Version 1,8,3.7
Analytics Vidhya,8,3.8
Service Industry,8,3.6
Cerebraix,8,3.6
Cisco,8,4.1
Leading IT Software Company,8,3.6
LexisNexis Risk Solutions,8,3.6
SG Analytics,8,2.5
Elaarson Industries,8,3.6
ELF Beauty,8,3.2
Airtel,8,3.8
RIMES,8,3.6
Hurix,8,3.1
ICICI Lombard,8,3.5
Knowledge Park,8,2.9
Infinite,8,3.25
Lam Research,8,3.8
Thales India Pvt Ltd,8,3.6
Think People Solutions,8,3.6
Availity,8,2.8
9yards It Technology,8,4.4
Fortune 500 IT MNC,8,3.6
Highstreet It Solutions,8,2.7
Axa Xl,8,3.7
Trinity Life Sciences,8,3.6
Mastek,8,3.6
Target,8,4.0
Tavant,8,3.8
Bandhan Life Insurance Limited,8,3.2
Big 4 Consulting Firm,8,3.6
Synopsys,8,3.5
Suzega,8,3.6
Blackstraw Technologies,8,4.3
ABB,8,4.0
client of kaizen,8,3.6
Staffice Global,8,3.6
FCS Software Solutions,8,3.7
IntraEdge Technology,8,3.7
Aepl,8,3.2
Geoconsultants India Services,8,3.6
First Solar,8,4.0
First Source Energy India,8,3.6
Medcare Hospital & Medical Centres,8,3.6
Mindrift,8,3.6
Figmenta,8,3.6
Naghavi Fintech,8,3.6
Snapdeal,8,3.6
NXG World,8,3.6
National Institute for Smart Government (NISG),8,3.6
Coverforce,8,3.6
Gratitude India,8,3.6
Orcapod Consulting Services,8,3.6
Black Poison Tattoo Studio,8,3.6
World Courier,8,4.6
Aditya Birla Insulators,8,3.5
Exponentia.ai Private Limited,8,3.7
Sophos,8,3.7
CMM Level 5 IT Company,8,3.6
Screen Rant,8,3.6
Payoneer,8,3.7
Saint Gobain,8,3.8
LeadWinner,8,2.5
Hsbc,8,3.8
Proclink,8,3.5
Gigafactor Solutions,8,3.6
Bold Technology Systems,8,3.0
Indium Global Services,7,3.6
Transunion,7,3.57
Artech India,7,3.6
Aryavart Institute Of Technology,7,2.0
Armanino,7,3.7
Thrise,7,3.9
Honeybee Tech Solutions,7,3.6
India's Largest IT Service Provider,7,3.6
Huron,7,3.6
Dayforce,7,3.9
Geotechnosoft,7,3.6
Dev Solutions,7,4.9
Plasma Softech,7,3.6
Qualtech Edge,7,3.6
R1 RCM,7,3.8
Seven Consultancy,7,3.6
Vconstruct,7,3.7
Service based MNC in B2B IT Services Sector,7,3.6
Sanfoundry,7,3.6
Claight Corporation Expert Market Research,7,4.0
SES Global Technology Services,7,4.8
SRS Infoway,7,3.6
SSTech System,7,3.8
Nokia,7,4.0
Leading MNC,7,3.6
Numentica,7,4.6
Novo Nordisk,7,3.6
Cloudsufi,7,3.0
E2M Solutions,7,3.5
Dtcc,7,3.7
Itisconfidential,7,3.6
Globiva,7,3.0
Earnin,7,3.6
Easemytrip,7,4.0
Rentokil Initial,7,3.5
E Billing Solutions (EBS),7,4.1
Kinara.ai,7,3.8
WPP,7,2.8
Rapid Canvas,7,4.0
DBS Bank,7,3.7
Prudential Corporation Asia,7,3.6
Smiths Detection,7,3.7
Angel One,7,3.5
Next Business Services India,7,3.6
Epsilon Data Management,7,3.6
Neoware Technology Solutions,7,3.5
Zymr Systems,7,3.19
Adani Transmission (ATL),7,3.6
MSCI Services,7,3.6
Acciojob,7,3.5
Anlage Infotech,7,3.6
Eurofins,7,3.2
Wissen Technology,7,3.8
NS Global Corporation,7,3.6
Brillius,7,4.0
Somnetics Som Imaging Informatics,7,4.0
Mondelez,7,4.1
Yogini Tradex,7,3.6
Niva Bupa Health Insurance,7,4.0
Binance,7,3.1
T&N Business Services,7,4.71
Superstuff,7,3.6
